Date,SPY US Equity,IWM US Equity,EFA US Equity,EEM US Equity,DBC US Equity,GLD US Equity,VNQ US Equity,TLT US Equity,SHY US Equity,FDN US Equity,IBB US Equity,IEZ US Equity,IGV US Equity,IHE US Equity,IHI US Equity,ITA US Equity,ITB US Equity,IYJ US Equity,IYT US Equity,IYW US Equity,IYZ US Equity,KBE US Equity,KCE US Equity,KIE US Equity,PBJ US Equity,PBS US Equity,SMH US Equity,VNQ US Equity,XLB US Equity,XLP US Equity,XLU US Equity,XOP US Equity,XRT US Equity
20030102,63.4765,30.5719,20.633,NA,NA,NA,NA,45.7999,60.2236,NA,16.515,NA,25.5253,NA,NA,NA,NA,14.9199,NA,7.3885,12.1992,NA,NA,NA,NA,NA,NA,NA,13.5319,12.8254,10.1391,NA,NA
20030103,63.6717,30.5209,20.6534,NA,NA,NA,NA,45.9061,60.231,NA,16.3822,NA,25.3323,NA,NA,NA,NA,14.8812,NA,7.4695,12.1147,NA,NA,NA,NA,NA,NA,NA,13.4588,12.8127,10.2425,NA,NA
20030106,64.7939,30.878,20.9085,NA,NA,NA,NA,45.784,60.1942,NA,16.583,NA,26.4228,NA,NA,NA,NA,15.1518,NA,7.7409,13.1116,NA,NA,NA,NA,NA,NA,NA,13.718,12.9074,10.7029,NA,NA
20030107,64.6336,30.7171,20.582,NA,NA,NA,NA,45.9485,60.2383,NA,16.4535,NA,26.8474,NA,NA,NA,NA,14.974,NA,7.9094,12.8276,NA,NA,NA,NA,NA,NA,NA,13.6715,12.7938,10.4702,NA,NA
20030108,63.6996,30.411,20.3024,NA,NA,NA,NA,46.1768,60.2897,NA,16.0324,NA,26.2491,NA,NA,NA,NA,14.7652,NA,7.6621,12.3926,NA,NA,NA,NA,NA,NA,NA,13.3192,12.7181,10.5426,NA,NA
20030109,64.6893,30.8584,20.5514,NA,NA,NA,NA,45.2903,60.1795,NA,16.3401,NA,27.6677,NA,NA,NA,NA,14.9856,NA,7.9313,12.5316,NA,NA,NA,NA,NA,NA,NA,13.5253,12.8443,10.4909,NA,NA
20030110,64.8636,30.9251,20.5249,NA,NA,NA,NA,45.4071,60.2603,NA,16.7288,NA,27.8607,NA,NA,NA,NA,14.8541,NA,8.0319,12.5074,NA,NA,NA,NA,NA,NA,NA,13.6715,12.8822,10.4909,NA,NA
20030113,64.8427,30.9958,20.5677,NA,NA,NA,NA,45.4814,60.2456,NA,16.9717,NA,27.7642,NA,NA,NA,NA,14.9121,NA,7.986,12.598,NA,NA,NA,NA,NA,NA,NA,13.6117,12.9137,10.2684,NA,NA
20030114,65.0518,31.0154,20.7249,NA,NA,NA,NA,45.6407,60.2677,NA,17.1012,NA,28.1406,NA,NA,NA,NA,14.9121,NA,8.0757,12.743,NA,NA,NA,NA,NA,NA,NA,13.6781,12.9516,10.2891,NA,NA
20030115,64.4036,30.9447,20.5269,NA,NA,NA,NA,45.8636,60.2897,NA,17.0041,NA,27.5712,NA,NA,NA,NA,14.7073,NA,7.9444,12.3866,NA,NA,NA,NA,NA,NA,NA,13.4522,12.8254,10.2581,NA,NA
20030116,64.1387,30.9016,20.6126,NA,NA,NA,NA,45.9273,60.3264,NA,17.2308,NA,26.8088,NA,NA,NA,NA,14.7189,NA,7.7058,12.2355,NA,NA,NA,NA,NA,NA,NA,13.5253,13.0147,10.2425,NA,NA
20030117,63.1908,30.3207,20.3963,NA,NA,NA,NA,46.1556,60.3117,NA,16.9717,NA,25.7376,NA,NA,NA,NA,14.4947,NA,7.3338,11.8186,NA,NA,NA,NA,NA,NA,NA,13.4189,12.939,10.196,NA,NA
20030121,62.208,29.8812,20.0371,NA,NA,NA,NA,46.421,60.3852,NA,16.6543,NA,25.4481,NA,NA,NA,NA,14.2473,NA,7.3316,11.6736,NA,NA,NA,NA,NA,NA,NA,13.1265,12.8443,9.9839,NA,NA
